School Year,RCDT Code,District Name,Enrollment Range,Enrollment Count,Salary Program,Month Salary Schedule Adopted,Signed Written Agreement,Local Affiliation,Meeting(s) Between School Board and Superintendent Based on Discussions With Teachers,Salary Program (Merit or Performance),Severance Pay,Early Retirement Program,Sick Leave Bank,Direct Reimbursement for Expenses,Leave with Pay,Sick Leave > 80 Days,Bachelor's Beginning Salary,Bachelor's Maximum Salary,Bachelor's Years to Max,Master's Beginning Salary,Master's Maximum Salary,Master's Years to Max,Master's 30-32+ Beginning Salary,Master's 30-32+ Maximum Salary,Master's 30-32+ Years to Max,Highest Scheduled Salary,Years to Highest Scheduled Salary,Education Level Required to Reach Highest Salary,Additional Hours Required to Reach Highest Salary,All Full-time Employees Eligible to Receive the Same Fringe Benefit Coverage,Teacher Retirement System Monies Included in Salary Schedule,Percentage of Board Paid TRS (Part D),Annual Dental Premium for Employee,Percentage of Employee Dental Paid by Employer,Annual Dental Premium for Family,Percentage of Family Dental Paid by Employer,Annual Disability Insurance Premium for Employee,Percentage of Employee Disability Insurance Paid by Employer,Annual Disability Insurance Premium for Family,Percentage of Family Disability Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Employee,Percentage of Employee Hospitalization Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Family,Percentage of Family Hospitalization Insurance Paid by Employer,Annual Life Insurance Premium for Employee,Percentage of Employee Life Insurance Paid by Employer,Annual Life Insurance Premium for Family,Percentage of Family Life Insurance Paid by Employer,Annual Prescription Insurance Premium for Employee,Percentage of Employee Prescription Insurance Paid by Employer,Annual Prescription Insurance Premium for Family,Percentage of Family Prescription Insurance Paid by Employer,Annual Vision Insurance Premium for Employee,Percentage of Employee Vision Insurance Paid by Employer,Annual Vision Insurance Premium for Family,Percentage of Family Vision Insurance Paid by Employer,Cafeteria Plan 1,Cafeteria Plan 2,Cafeteria Plan 3,Cafeteria Plan 4,CAFTERIA PLAN (1-4) MEMBER COST,CAFTERIA PLAN (1-4) MEMBER PERCENT PAID BY EMPLOYER,CAFTERIA PLAN (1-4) FAMILY COST,CAFTERIA PLAN (1-4) FAMILY PERCENT PAID BY EMPLOYER,OTHER BENEFIT TYPE 1,OTHER BENEFIT TYPE 2,OTHER BENEFIT TYPE 3,OTHER BENEFIT TYPE 4,OTHER BENEFITS (1-4) MEMBER COST,OTHER BENEFITS (1-4) MEMBER PERCENT PAID BY EMPLOYER,OTHER BENEFITS (1-4) FAMILY COST,OTHER BENEFITS (1-4) FAMILY PERCENT PAID BY EMPLOYER,EXPIRATION DATE OF CONTRACT,MASTERS 10TH YEAR SALARY,DOES CONTRACT CONTAIN FAIR SHARE PROVISION?,LONGEVITY PAY PROVIDED BY CONTRACT?,LONGEVITY BACHELORS MAXIMUM,YEARS TO LONGEVITY BACHELORS MAXIMUM,LONGEVITY MASTERS MAXIMUM,YEARS TO LONGEVITY MASTERS MAXIMUM,LONGEVITY MASTERS 30-32+ MAXIMUM ,YEARS TO LONGEVITY MASTERS 30-32+ MAXIMUM ,LONGEVITY HIGHEST SCHEDULED SALARY MAXIMUM,LONGEVITY HIGHEST YEAR SCHEDULED SALARY MAXIMUM,"DAYS PERSONAL, BUSINESS OR EMERGENCY LEAVE W/PAY",DAYS SICK LEAVE ACCUnlimitedMUnlimitedLATION BEYOND 180 DAYS
2019,1001001026,Payson CUSD 1,500-999,596,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$32,830.00","$44,178.00",22,"$35,027.00","$51,209.00",29,"$37,225.00","$53,552.00",29,"$54,138.00",29,Master's,40,Yes,Yes,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Annuity,,,"$9,668.00",66,"$23,312.00",27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$40,076.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,400
2019,1001002026,Liberty CUSD 2,500-999,620,Salary Schedule,August,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$36,808.00","$47,293.00",20,"$38,748.00","$54,655.00",24,NULL,NULL,NULL,"$55,696.00",24,Master's,24,No,No,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$11.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Cash,Prescription,Education,"$10,152.00",75,"$14,496.00",0,8,NULL,NULL,NULL,"$1,195.00",100,NULL,NULL,Aug-20,"$43,779.00",1,1,"$62,403.00",34,"$69,963.00",34,NULL,NULL,"$71,295.00",34,3,340
2019,1001003026,Central CUSD 3,500-999,902,Salary Schedule,August,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$32,909.00","$44,291.00",15,"$36,325.00","$56,158.00",22,"$40,096.00","$67,098.00",26,"$67,098.00",26,Master's,30,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Cash,Prescription,Annuity,"$9,641.00",88,"$11,789.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$44,280.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,1001004026,CUSD 4,500-999,709,Salary Schedule,June,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$34,773.00","$52,749.00",28,"$36,970.00","$61,125.00",33,"$39,357.00","$62,593.00",32,"$62,593.00",33,Master's,32,Yes,Yes,9.9,$372.00,90,$576.00,0,$0.00,0,$0.00,0,"$6,756.00",90,"$10,704.00",0,$11.00,100,$0.00,0,$0.00,0,$0.00,0,$144.00,0,$276.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-20,"$42,311.00",1,1,"$53,145.00",29,"$61,583.00",34,63062,33,"$63,535.00",34,2,360
2019,1001172022,Quincy SD 172,"6,000-11,999",8685,Salary Schedule,July,Yes,IFT-AFT,,,,,Yes,,Yes,Yes,"$34,835.00","$55,620.00",30,"$37,271.00","$58,113.00",30,"$40,403.00","$61,320.00",30,"$65,595.00",30,Doctor's,0,Yes,No,0,$457.00,0,$807.00,0,NULL,NULL,NULL,NULL,"$8,928.00",82,"$16,272.00",67,$16.00,100,$0.00,0,NULL,NULL,NULL,NULL,$93.00,0,$148.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$43,862.00",1,1,"$58,541.00",31,"$61,133.00",31,64465,31,"$68,910.00",31,3,400
2019,1005001026,Brown County CUSD 1,500-999,818,Salary Schedule,September or later,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$37,362.00","$52,554.00",22,"$37,717.00","$61,878.00",26,"$41,632.00","$73,932.00",30,"$73,932.00",30,Master's,32,Yes,No,9.9,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$73.00,100,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,,,,"$8,113.00",87,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-21,"$45,074.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,U,U
2019,1009015026,Beardstown CUSD 15,"1,000-2,999",1757,Policy No Schedule,July,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$35,020.00","$52,420.00",30,"$39,020.00","$57,145.00",30,"$43,020.00","$61,870.00",30,"$61,870.00",30,Master's,32,Yes,Yes,9,$372.00,0,$576.00,0,$0.00,0,$0.00,0,"$9,636.00",75,"$13,644.00",0,$16.00,100,$0.00,0,$0.00,0,$0.00,0,$144.00,0,$420.00,0,Life Insurance,,,,"$1,000.00",100,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Jun-21,"$44,645.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,1009064026,Virginia CUSD 64,Under 500,332,Salary Schedule,September or later,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$34,107.00","$47,664.00",17,"$37,134.00","$57,784.00",22,NULL,NULL,NULL,"$60,146.00",22,Master's,8,Yes,Yes,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$5,508.00",70,"$14,656.00",26,NULL,70,NULL,26,NULL,70,NULL,26,NULL,NULL,NULL,NULL,,Cash,Education,Prescription,"$5,508.00",70,"$14,656.00",26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$46,863.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,380
2019,1009262026,A-C Central CUSD 262,Under 500,488,Salary Schedule,July,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$33,525.00","$43,408.00",20,"$36,634.00","$47,432.00",20,$0.00,$0.00,NULL,"$48,837.00",20,Master's,16,Yes,No,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Prescription,Cash,,"$10,798.00",39,"$14,034.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$41,149.00",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,U
2019,1069001026,Franklin CUSD 1,Under 500,440,Salary Schedule,July,Yes,IFT-AFT,,,,Yes,Yes,Yes,Yes,Yes,"$33,600.00","$52,985.00",24,"$34,750.00","$59,170.00",30,"$36,446.00","$60,866.00",30,"$77,189.00",45,Master's,32,Yes,Yes,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,Prescription,Cash,Annuity,"$9,091.00",64,"$22,487.00",0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-20,"$44,511.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,360
